"","Label","Type","Reference","M: Fix to 2009","M: Fix to prior","M: Fix to Hamel","M: Fix to VBGF","M: Fix to OR","VBGF 2009","VBGF Grebel","OR maturity","Est. h","All rec devs","No rec devs","High bias adj.","Harmonic mean","Dirichlet","Wts = 1","No blocks","First blocks in 2000","Alt rec catches"
"110",NA,"Main_RecrDev_2016",-0.0988091,-0.0832682,-0.0619206,-0.0290213,-0.119796,-0.0279294,-0.039459,0.619088,-0.0909452,-0.0861044,-0.105693,NA,-0.0985534,-0.0161475,0.00629152,-0.0355027,-0.255655,-0.104259,-0.0857227
"111",NA,"Late_RecrDev_2017",-0.0973198,-0.100403,-0.099863,-0.105131,-0.0934267,-0.105284,-0.136775,-0.224196,-0.10034,-0.0940018,-0.0996774,0,-0.103677,-0.0508211,-0.0525151,-0.022642,-0.134696,-0.0978293,-0.0945584
"112",NA,"Late_RecrDev_2018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113",NA,"ForeRecr_2019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114",NA,"ForeRecr_2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115",NA,"ForeRecr_2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"116",NA,"ForeRecr_2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"117",NA,"ForeRecr_2023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"118",NA,"ForeRecr_2024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"119",NA,"ForeRecr_2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"120",NA,"ForeRecr_2026",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"121",NA,"ForeRecr_2027",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"122",NA,"ForeRecr_2028",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"123",NA,"ForeRecr_2029",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124",NA,"ForeRecr_2030",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125",NA,"Impl_err_2019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126",NA,"Impl_err_2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"127",NA,"Impl_err_2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"128",NA,"Impl_err_2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"129",NA,"Impl_err_2023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130",NA,"Impl_err_2024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"131",NA,"Impl_err_2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"132",NA,"Impl_err_2026",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"133",NA,"Impl_err_2027",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"134",NA,"Impl_err_2028",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"135",NA,"Impl_err_2029",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"136",NA,"Impl_err_2030",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"137",NA,"LnQ_base_SURVEY1(5)",-11.2855,-11.3034,-11.3836,-11.6293,-10.9206,-11.6387,-11.3494,-11.2695,-11.2358,-11.1794,-11.3799,-11.2896,-11.2602,-11.0864,-10.9081,-10.6684,-10.8526,-11.3416,-10.9233
"138",NA,"Q_extraSD_SURVEY1(5)",0.39195,0.394877,0.389923,0.399169,0.387411,0.399162,0.405111,0.363097,0.38632,0.395451,0.341428,0.502796,0.38418,0.401329,0.427277,0.428605,0.436343,0.381569,0.379042
"139",NA,"Size_DblN_peak_FISHERY1(1)",34.3459,34.3459,34.3459,34.3459,34.3459,34.3459,34.3459,34.3459,34.3459,34.3459,34.3459,34.3459,34.3459,34.3459,34.3459,34.3459,34.3459,34.3459,34.3459
"140",NA,"Size_DblN_top_logit_FISHERY1(1)",-6.03096,-6.03096,-6.03096,-6.03096,-6.03096,-6.03096,-6.03096,-6.03096,-6.03096,-6.03096,-6.03096,-6.03096,-6.03096,-6.03096,-6.03096,-6.03096,-6.03096,-6.03096,-6.03096
